Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
Grand Del Sol,朗晴居,,,,,"100 Fung Cheung Rd.,
Yuen Long","元朗
鳳翔路100號",,,,,1997,,,
Grand Garden,全麗花園,,,,,"6A Hang Tau,
Kwu Tung","古洞
坑頭6A號",,,,,1993,,,
Grand Horizon,海欣花園,,,,,"11 Cheung Wan St.,
Tsing Yi","青衣
長環街11號",,,,,2000,,,
Grand Industrial Building,華寶工業大廈,,,,,"159/165 Wo Yi Hop Rd.,
Kwai Chung","葵涌
和宜合道159/165號",,,,,1972,P,,
Grand Palisades,大埔寶馬山,,,,,"8 Shan Yin Rd.,
Tai Po","大埔
山賢路8號",,,,,1997,P,,
Grand Park,典栢豪庭,,,,,"155 To Yuen Wai,
Tuen Mun","屯門
桃園圍155號",,,,,2004,,,
Grand Regentville,御庭軒,,,,,"9 Wo Mun St.,
Fanling","粉嶺
和滿街9號",,,,,2002,,,
Grand Riviera,金臻,,,,,"368 Castle Peak Rd.
Ting Kau, Tsuen Wan","荃灣
青山公路汀九段368號",,,,,2013,,,
Grand Tower,嘉宏中心,,,,,"15/23 Luen Wo Rd.,
Luen Wo Market, Fanling","粉嶺聯和墟聯和道
15/23號",,,,,1992,P,,
Grand Villa,金薈庭,,,,,"105 Tsz Tin Tsuen,
Tuen Mun","屯門
紫田村105號",,,,,-,,,
Grand Yoho,,,,,,"9 Long Yat Rd.,
Yuen Long","元朗
朗日路9號",,,,,2016,,,
Grand Yoho,,Yoho Mall I,形點 I,,,,,,,,,,,,
Grandeur Garden,金禧花園,,,,,"2/18 Chik Fai St. &
55/65 Tai Wai Rd., Tai Wai","大圍積輝街2/18號及
大圍道55/65號",,,,,1985,P,,
Grandeur Gardens,偉景花園,,,,,"3 King Fung Path,
Tuen Mun","屯門
景峰徑3號",,,,,1987,P,,
Grandeur Terrace,俊宏軒,,,,,"88 Tin Shui Rd.,
Tin Shui Wai","天水圍
天瑞路88號",,,,,,,See Appendix I,見附錄I
Grandtech Centre,偉達中心,,,,,"8 On Ping St.,
Sha Tin","沙田
安平街8號",,,,,1996,P,,
Grandview Mansion,銀輝大廈,,,,,"11 Mui Wo Ferry Pier Rd.,
Lantau Island","大嶼山
梅窩碼頭路11號",,,,,1978,P,,
Grandview Terrace,冠峰臺,,,,,"DD 381 Lots 1001-1009,
Siu Lam, Tuen Mun","屯門小欖第381約
地段第1001-1009號",,,,,-,P,,
Grandview Villa,錦柏豪苑,,,,,"8 Yau Lai Rd.,
Tsuen Wan","荃灣
悠麗路8號",,,,,2001,,,
Grandview Villa,嘉穎別墅,,,,,"DD 223 Lot 244
Off Clear Water Bay Rd.,
Ta Ku Ling","打鼓嶺
近清水灣道第223約
第244號地段",,,,,1975,,,
Grandville Court,嘉賢閣,,,,,"8 Yan Hing St.,
Tai Po","大埔
仁興街8號",,,,,1994,P,,
Grandway Garden,富嘉花園,,,,,Tai Wai,大圍,,,,,1989,P,See Appendix IV,見附錄IV
Grandway Garden,富嘉花園,Block 1,第1座,,,,,16 Mei Tin Rd.,美田路16號 ,,,,P,See Appendix IV,見附錄IV
Grandway Garden,富嘉花園,Block 2,第2座,,,,,15 Tsuen Nam Rd.,村南道15號 ,,,,P,See Appendix IV,見附錄IV
Grandway Garden,富嘉花園,Block 3,第3座,,,,,35 Tsuen Nam Rd.,村南道35號 ,,,,P,See Appendix IV,見附錄IV
Granville Garden,恒峰花園,,,,,"18 Pik Tin St.,
Sha Tin","沙田
碧田街18號",,,,,1997,P,,
Great Garden,偉景園,,,,,"63 Tan Kwai Tsuen Rd.,
Hung Shui Kiu","洪水橋
丹桂村路63號",,,,,1993,P,,
Green Cove,映月灣,,,,,"111 Ting Kok Rd.,
Tai Po","大埔
汀角路111號",,,,,2000,P,,
Green Crest,翠巒,,,,,"93 San Tam Rd.,
San Tin, Yuen Long","元朗新田
新潭路93號",,,,,2006,,,
Green Garden,趣怡花園,,,,,"230 Ng Uk Tsuen,
Ping Shan","屏山
吳屋村230號",,,,,-,,,
Green Garden,綠園,,,,,"DD 121 Lot 1083,
Off Castle Peak Rd. Ping
Shan, Tong Yan San Tsuen","唐人新村近青山公路
屏山段第121約
第1083號地段",,,,,-,,,
Green House,綠苑,,,,,"DD 51 Lot 269 (W. Pt.)
Off Jockey Club Rd.,
Shek Wu Hui","石湖墟近馬會道
第51約第269號
地段 (西部部分)",,,,,-,,,
Green Leaves Garden,翠麗花園,,,,,"15-17 Yuen Chau Kok Rd.,
Sha Tin","沙田
圓洲角路15-17號",,,,,1987,P,,
Green Orchid,芙蓉園,,,,,"1 Ping Hing Lane,
Ping Shan, Yuen Long","元朗屏山
屏興里1號",,,,,2006,,,
Green Park,碧翠苑,,,,,"29 Razor Hill Rd.,
Sai Kung","西貢
碧翠路29號",,,,,1988,P,,
Green View Garden,翠景閣,,,,,"80 Pak Shek Terrace
Clear Water Bay Rd.","清水灣道
白石台80號",,,,,1983,,,
Green Villa,翠苑,,,,,"DD 111 Lot 1601
Off Kam Tin Rd.,
Shek Kong","石崗
近錦田公路第111約
第1601號地段",,,,,-,,,
Green Villas,嘉翠苑,,,,,"11 Tso Wo Rd.,
Sai Kung","西貢
早禾路11號",,,,,1993,P,,
Greenacres Villa,綠攸居,,,,,"39 Ngau Tam Mei Rd.,
Yuen Long","元朗
牛潭尾路39號",,,,,2006,,,
Greenery Crest,碧濤軒,,,,,"33 Cheung Shek Rd.,
Cheung Chau",長洲長碩路33號,,,,,1991,P,,
Greenery Gardens,御翠園,,,,,"3 Fairview Park Boulevard,
Yuen Long","元朗
錦綉花園大道3號",,,,,2003,,,
Greenery Place,翠韻華庭,,,,,"1 Town Park Rd. S.,
Yuen Long","元朗
公園南路1號",,,,,2001,P,,
Greenery Plaza,翠怡花園,,,,,"3 Chui Yi St.,
Tai Po","大埔
翠怡街3號",,,,,1986,P,,
Greenery Villas,寶翠小築,,,,,"2-10 Ma Ying Path,
Sha Tin","沙田
馬影徑2-10號",,,,,1985,P,,
Greenery Villas (Phase II),寶翠小築 (第二期),,,,,"3 Ma Lok Path,
Sha Tin","沙田
馬樂徑3號",,,,,1986,,,
Greenfield Court,田園閣,,,,,"9-11 Sha Tin Wai Rd.,
Sha Tin","沙田
沙田圍路9-11號",,,,,1983,P,,
Greenfield Garden,翠怡花園,,,,,"1 Fung Shue Wo Rd.,
Tsing Yi","青衣
楓樹窩路1號",,,,,,,,
Greenfield Garden,翠怡花園,Towers 1-6,第1至6座,,,,,,,,,1989,,,
Greenfield Garden,翠怡花園,Towers 7-11,第7至11座,,,,,,,,,1990,,,
Greenfield Lodge,頤苑,,,,,"190 Sheung Yau Tin Tsuen,
Shap Pat Heung, Yuen Long","元朗十八鄉
上攸田村190號",,,,,-,,,
Greenfields,雍翠豪園,,,,,"1 Fung Kam St.,
Yuen Long","元朗
鳳琴街1號",,,,,1998,P,,
Greenfields,南莊苑,,,,,"2 Ma Lok Path,
Sha Tin","沙田
馬樂徑2號",,,,,1998,P,,
Greenfree Crest,悠然居,,,,,"67 Yuen Kong San Tsuen,
Pat Heung","八鄉
元崗新村67號",,,,,-,,,
Greenheight Villa,翠嶺山莊,,,,,"1/3 Sha Tin Heights Rd.,
Sha Tin","沙田
沙田嶺路1/3號",,,,,1993,P,,
Greenhill Villa,綠怡雅苑,,,,,"63 Siu Lek Yuen Rd.,
Sha Tin","沙田
小瀝源路63號",,,,,2020,,See Appendix II,見附錄II
Greenhill Villa,綠怡雅苑,Tower 1-3,第1至3座,,,,,,,,,,,See Appendix II,見附錄II
Greenknoll Court,嘉翠園,,,,,"382 Castle Peak Rd.
Kwai Chung, Kwai Chung","葵涌青山公路
葵涌段382號",,,,,1992,,,
Greenlake Garden,,,,,,"200-203 Sik Kong Wai,
Yuen Long","元朗
錫降圍200-203號",,,,,1997,,,
Greenland Garden,翠林花園,,,,,"15 Shek Pai Tau Rd.,
Tuen Mun","屯門
石排頭路15號",,,,,1989,P,,
Greenland Villas,綠怡小築,,,,,"8-12 Ma Yeung Path,
Sha Tin","沙田
馬鞅徑8-12號",,,,,1985,P,,
Greenpark Villa,蔚翠花園,,,,,"9 Kat Cheung Crescent,
Fanling","粉嶺
吉祥街9號",,,,,1994,P,,
Greenpeak Villa,,,,,,"33 Wong Chuk Shan
San Village,
Sai Kung","西貢
黃竹山新村33號",,,,,-,,,
Greenshine Villa,朗月軒,,,,,"Wang Toi Shan Ho
Lik Pui, Pat Heung,
Yuen Long","元朗八鄉
橫台山河瀝背",,,,,-,P,,
Greenside Paradise,順隆花園,,,,,"33 Shun Lung St.,
Sha Tau Kok","沙頭角
順隆街33號",,,,,1999,P,,
Greenview,翠薈,,,,,"148 Fuk Hang Tsuen Rd.,
Tuen Mun","屯門
福亨村路148號",,,,,2009,,,
Greenview Court,翠濤閣,,,,,"644-654 Castle Peak Rd.
Tsuen Wan, Tsuen Wan","荃灣青山公路
荃灣段644-654號",,,,,1982,P,,
Greenview Garden,愉景花園,,,,,"1-3 Chui Tin St.,
Sha Tin","沙田
翠田街1-3號",,,,,1987,P,,
Greenview Garden,綠怡花園,,,,,"31 Razor Hill Rd.,
Sai Kung","西貢
碧翠路31號",,,,,1992,P,,
Greenview Terrace,翠景臺,,,,,"6 Castle Peak Rd. Ting Kau,
Tsuen Wan","荃灣青山公路
汀九段6號",,,,,1991,P,,
Greenview Villa,綠悠雅苑,,,,,"18 Tsing Luk St., 
Tsing Yi","青衣
青綠街18號",,,,,2015,,,
Greenview Villas,翠景臺,,,,,"118A Luk Mei Tsuen,
Sai Kung","西貢
鹿尾村118A號",,,,,-,P,,
Greenville Park,富茵雅苑,,,,,"178B Shek Po Tsuen,
Ping Shan, Yuen Long","元朗屏山
石埔村178B號",,,,,1999,,,
Greenville Residence,逸翠軒,,,,,"38 Sha Tseng Rd.,
Ping Shan, Yuen Long","元朗屏山
沙井路38號",,,,,2002,P,,
Greenwave Chalet,翠浪小築,,,,,"18 Pik Sha Rd., Silverstrand,
Sai Kung","西貢銀線灣
碧沙路18號",,,,,1982,,,
Greenwich Garden,翠樺園,,,,,"12 Kam Shan Rd.,
Tai Po","大埔
錦山路12號",,,,,1980,P,,
Greenwood Garden,曉峰花園,,,,,"396 Tai Tong Tsuen,
Shap Pat Heung, Yuen Long","元朗十八鄉
大棠村396號",,,,,-,,,
Greenwood Garden,翠華花園,,,,,"7/11 Sha Kok St.,
Sha Tin","沙田
沙角街7/11號",,,,,1984,P,,
Greenwood Regency,曉峯豪園,,,,,"28 Chung Shan Terrace,
Kwai Chung","葵涌
鐘山臺28號",,,,,1997,P,,
Greenwood Terrace,華翠園,,,,,"26-28 Sui Wo Rd.,
Sha Tin","沙田
穗禾路26-28號",,,,,1987,P,,
Greenwood Villas,曉峯居,,,,,Kwai Chung,葵涌,,,,,1995,P,,
Greenwood Villas,曉峯居,Phase 1,第1期,,,,,"2/3 Chung Shan Terrace,",鐘山臺2/3號,,,,P,,
Greenwood Villas,曉峯居,Phase 2,第2期,,,,,"6/6A Chung Shan Terrace,",鐘山臺6/6A號,,,,P,,
Greenwood Villas,曉峯居,Phase 3,第3期,,,,,25/26 Chung Shan Terrace,鐘山臺25/26號,,,,P,,
H Cube,立坊,,,,,"118 Yeung Uk Rd.,
Tsuen Wan","荃灣
楊屋道118號",,,,,2006,P,,
"H.K. & KLN Kaifong
Women's Association
Sun Fong Chung College",港九街坊婦女會孫方中書院,,,,,"4643 Tai Po Rd. Tai Po Kau,
Tai Po","大埔大埔公路
大埔滘段第4643號",,,,,-,,,
"H.K. Red Swastika Society
Tuen Mun Primary School",香港紅卍字會屯門卍慈小學,,,,,"31 Tin King Rd.,
Leung King Estate,
Tuen Mun","屯門
良景邨
田景路31號",,,,,-,,,
"H.K. Sze Yap Commercial &
Industrial Association Chan Lai
So Chun Memorial School","香港四邑商工總會
陳黎繡珍紀念學校",,,,,"Cheung Ching Estate,
Tsing Yi","青衣
長青邨",,,,,-,,,
H.K.Y.H.A. Bradbury Hall,香港青年旅舍協會白普理堂,,,,,"DD 298 CLL T18613,
Chek Keng","赤徑第298約
官地牌照第T18613號",,,,,-,,,
"Ha Kwai Chung Government
Secondary School",下葵涌官立中學,,,,,"85 Hing Shing Rd.,
Kwai Chung","葵涌
興盛路85號",,,,,-,,,
"Ha Kwai Chung Polyclinic & Special
Education Services Centre","下葵涌分科診所及
特殊教育服務中心",,,,,"77 Lai Cho Rd.,
Kwai Chung","葵涌
麗祖路77號",,,,,-,,,
Ha Mei San Tsuen Village Office,蝦尾新村村公所,,,,,"DD 126 Lot 120 RP,
(10) Ha Mei San Tsuen,
Ping Shan, Yuen Long","元朗屏山
蝦尾新村(10號)
丈量約份第126約
第120號餘段",,,,,-,,,
Ha Po Ming Yuen,下普明苑,,,,,"110 Pai Tau Tsuen,
Sha Tin",沙田排頭村110號,,,,,-,,,
Ha Tsuen Heung Rural Committee,廈村鄉鄉事委員會,,,,,"60 Ha Mei Rd.,
Ha Tsuen, Yuen Long","元朗廈村
廈尾路60號",,,,,-,,,
Ha Tsuen Rural Committee,廈村鄉鄉事委員會,,,,,"8 Tin Ha Rd.,
Yuen Long","元朗
田廈路8號",,,,,-,,,
Ha Tsuen Sewage Pumping Station,廈村污水抽水站,,,,,"70 Ping Ha Rd., Ping Shan",屏山屏廈路70號,,,,,-,,,
Habitat,立德台,,,,,"DD 217 Lots 1106, 1110 &
1125, Off Hiram's Highway,
Hebe Haven","白沙灣近西貢公路
第217約第1106、
1110及1125號地段",,,,,1977,P,,
Hale Weal Industrial Building,合福工業大廈,,,,,"22/28 Tai Chung Rd.,
Kwai Chung","葵涌
大涌道22/28號",,,,,1991,,,
Halfway House,,,,,,"10 Ping Shan Lane,
Yuen Long","元朗
屏山里10號",,,,,Pre 1945前,,,
Hampstead,泓山,,,,,"3 Yat Yiu Avenue,
Tai Po","大埔
逸遙路3號",,,,,2006,,,
Hananui,,,,,,"71 Sheung Sze Wan,
Clear Water Bay","清水灣
相思灣71號",,,,,-,,,
Handsome Court,恒順園,,,,,"362-388 Castle Peak Rd.
Castle Peak Bay, Tuen Mun","屯門青山公路
青山灣段362-388號",,,,,1990,P,,
Handsome Villa,俊麗山莊,,,,,"113 Tuen Tsz Wai,
Tuen Mun","屯門
屯子圍113號",,,,,-,,,
Hanford Garden,恒福花園,,,,,"333 Castle Peak Rd.
Castle Peak Bay, Tuen Mun","屯門青山公路
青山灣段333號",,,,,1993,P,,
Hang Ah Shan Fong,鏗雅山房,,,,,"28A Nam She Tong,
Cheung Chau","長洲
南蛇塘28A號",,,,,-,,,
Hang Cheong Building,恒昌大廈,,,,,"Ground Floor:
36-46 & 50 Yuen Long
Pau Cheung Square,
Yuen Long
Upper Floors:
48 Yuen Long Pau Cheung
Square","地下︰
元朗
元朗炮仗坊
36-46及50號
樓上各層︰
元朗炮仗坊48號",,,,,1985,P,,
Hang Cheong Villas (Phase II),恒昌花園 (第二期),,,,,"68A-68K Wong Nai Tun
Tsuen, Shap Pat Heung,
Yuen Long","元朗
十八鄉
黃坭墩村68A-68K號",,,,,-,,,
Hang Fai Building,恆暉大廈,,,,,"2 Sai Tai St.,
Yuen Long","元朗
西堤街2號",,,,,1992,,,
Hang Fat Mansion,恒發樓,,,,,"12 Castle Peak Rd.
Yuen Long, Yuen Long","元朗青山公路
元朗段12號",,,,,1984,P,,
Hang Fook Building,幸福樓,,,,,"5 Ying Fuk St.,
Hung Shui Kiu, Yuen Long","元朗洪水橋
盈福街5號",,,,,1979,,,
Hang Fu Building,恒富大廈,,,,,"38 Yau San St.,
Yuen Long","元朗
又新街38號",,,,,1990,P,,
Hang Fuk Building,幸福樓,,,,,"Ground Floor:
69-73 & 77-89 Ma Wang
Rd. & 48-52 Ma Miu Rd.,
Yuen Long
Upper Floors:
75 Ma Wang Rd.","地下︰
元朗媽橫路69-73及
77-89號及
媽廟路48-52號
樓上各層︰
媽橫路75號",,,,,1977,P,,
Hang Fuk Building (Phase 3),幸福樓三期,,,,,"45/75 Castle Peak Rd. San Hui,
1/27 Kei Lun Path &
60/64 Yan Oi Tong Circuit,
Tuen Mun","屯門
青山公路新墟段45/75號、
麒麟徑1/27號及
仁愛堂街60/64號",,,,,1977,,,
Hang Hau Sports Centre,坑口體育館,,,,,"38 Pui Shing Rd.,
Tseung Kwan O","將軍澳
培成路38號",,,,,-,,,
Hang King Garden,恒景花園,,,,,"9 Wing Fong Rd.,
Kwai Chung","葵涌
榮芳路9號",,,,,1996,,,
Hang King Shopping Arcade,恒景商場,,,,,"9 Wing Fong Rd.,
Kwai Chung","葵涌
榮芳路9號",,,,,1996,,,
Hang Lam,杏林,,,,,"1 Kwun Yam Wan Rd.,
Cheung Chau","長洲
觀音灣路1號",,,,,-,,,
Hang Lok Building,行樂樓,,,,,"Ground Floor:
54 Po Heung St. &
2 & 4 Tai Wing Lane, Tai Po
Upper Floors:
56 Po Heung St.","地下︰
大埔寶鄉街54號及
大榮里2及4號
樓上各層︰
寶鄉街56號",,,,,1972,,,
Hang Lok Square,行樂坊,,,,,"67 San Hong St.,
Sheung Shui",上水新康街67號,,,,,2003,,,
Hang On Yuen,恒安園,,,,,"DD 124 Lot 2233 s.A RP &
etc., Tin Ha Rd., Ha Tsuen
Yuen Long","元朗廈村田廈路第124
約第2233號地段的
A分段餘段及其他",,,,,-,,,
Hang Seng Tsuen Wan Building,恒生荃灣大廈,,,,,"289 Sha Tsui Rd.,
Tsuen Wan","荃灣
沙咀道289號",,,,,1998,,,
Hang Seng Yuen Long Building,恆生元朗大廈,,,,,"91-93 Castle Peak Rd.
Yuen Long, Yuen Long","元朗青山公路
元朗段91-93號",,,,,1979,,,
Hang Tau Village Office,坑頭村村公所,,,,,"25 Hang Tau,
Kwu Tung","古洞
坑頭25號",,,,,-,,,
Hang Tsan,恒棧,,,,,"DD 130 Lots 2121 &
2126 Sun Fung Wai,
Tuen Mun","屯門順風圍
第130約第2121及
2126號地段",,,,,-,,,
Hang Wai Industrial Centre,恒威工業中心,,,,,"6 Kin Tai St.,
Tuen Mun","屯門
建泰街6號",,,,,1981,,,
Hang Yuen,衡園,,,,,"16 Sha Tseng Rd.,
Ping Shan","屏山
沙井路16號",,,,,-,,,
Hang Yuen,恒苑,,,,,"53 Peak Rd.,
Cheung Chau","長洲
山頂道53號",,,,,-,,,
Hanison Garden,愉翠園,,,,,"200 San Hing Tsuen,
Tuen Mun","屯門
新慶村200號",,,,,-,P,,
Hanley Villa,恒麗園,,,,,Tsuen Wan,荃灣,,,,,1994,P,,
Hanley Villa,恒麗園,Blocks 1-4,第1至 4座,,,,,18 Yau Lai Rd.,悠麗路18號,,,,P,,
Hanley Villa,恒麗園,Blocks 5-7,第5至7座,,,,,22 Yau Lai Rd.,悠麗路22號,,,,P,,
Hanway Industrial Building,滙恒工業大廈,,,,,"17 San On St.,
Tuen Mun","屯門
新安街17號",,,,,1974,P,,
Hap Wan Villa,俠雲小築,,,,,"15B Hillside Rd.,
Cheung Chau","長洲
山邊路15B號",,,,,1974,,,
Happy Building,快樂樓,,,,,"Ground Floor:
2/4 Tso Kung Square &
6 Tso Kung St., Tsuen Wan
Upper Floors:
4 Tso Kung St.","地下︰
荃灣曹公坊2/4號及
曹公街6號
樓上各層︰
曹公街4號",,,,,1972,,,
Happy Friend Building,歡耀樓,,,,,"26 Sai Kung Tai St.,
Sai Kung","西貢
西貢大街26號",,,,,1984,,,
Happy House,快活樓,,,,,"43/49Yuen Long Kau
Yuk Rd., Yuen Long",元朗教育路43/49號,,,,,1972,,,
Happy View House,樂景樓,,,,,"19/23 Sha Tin Heights Rd.,
Sha Tin","沙田
沙田嶺路19/23號",,,,,1964,P,,
Happy Villa,樂園,,,,,"280 Lai King Hill Rd.,
Kwai Chung","葵涌
荔景山路280號",,,,,1982,,,
Harbour View Villa,海灣樓,,,,,"13 Mui Wo Ferry Pier Rd.,
Lantau Island","大嶼山
梅窩碼頭路13號",,,,,1992,P,,
Haribest Industrial Building,喜利佳工業大廈,,,,,"45-47 Au Pui Wan St.,
Sha Tin","沙田
坳背灣街45-47號",,,,,1987,P,,
Harmonic Villa,麗豪軒,,,,,"2 Yau Shin St.,
Yuen Long","元朗
友善街2號",,,,,1983,P,,
Harmony Garden,康睦庭園,,,,,Tsuen Wan,荃灣,,,,,1999,P,,
Harmony Garden,康睦庭園,Block 1,第一座,,,,,89 Ham Tin St.,鹹田街89號,,,,P,,
Harmony Garden,康睦庭園,Block 2,第二座,,,,,28 Luen Yan St.,聯仁街28號,,,,P,,
Harrow International School Hong Kong,哈羅香港國際學校,,,,,"38 Tsing Ying Rd.
Tuen Mun","屯門
青盈路38號",,,,,,,,
Harry Industrial Building,協力工業大廈,,,,,"49-51 Au Pui Wan St.,
Fo Tan","火炭
坳背灣街49-51號",,,,,1986,P,,
Harvest Garden,恒豐園,,,,,"1 Wing Fat Lane,
Tuen Mun","屯門
榮發里1號",,,,,1994,P,,
Hau Po,厚圃,,,,,"115 Hang Tau Rd.,
Kwu Tung","古洞
坑頭路115號",,,,,-,,,
Hau Tak Building,厚德樓,,,,,"3 Hung Min Court,
Yuen Long","元朗
紅棉圍3號",,,,,1982,P,,
Hau Tak Estate,厚德邨,,,,,"2 Sheung Ning Rd.,
Tseung Kwan O","將軍澳
常寧路2號",,,,,,,See Appendix I,見附錄I
Hau Tak Estate,厚德邨,Tak Chak House,德澤樓,,,,,,,,,,,See Appendix I,見附錄I
Hau Tak Estate,厚德邨,Tak Chi House,德志樓,,,,,,,,,,,See Appendix I,見附錄I
Hau Tak Estate,厚德邨,Tak Fu House,德富樓,,,,,,,,,,,See Appendix I,見附錄I
Hau Tak Estate,厚德邨,Tak Hong House,德康樓,,,,,,,,,,,See Appendix I,見附錄I
Hau Tak Estate,厚德邨,Tak On House,德安樓,,,,,,,,,,,See Appendix I,見附錄I
Hau Tak Estate,厚德邨,Tak Yue House,德裕樓,,,,,,,,,,,See Appendix I,見附錄I
Hau Tak Estate,厚德邨,TKO Gateway,,,,,,,,,,,,See Appendix I,見附錄I
"Haven of Hope Christian Service
Chapel",基督教靈實協會禮拜堂,,,,,"1 Haven of Hope Rd.,
Tseung Kwan O","將軍澳
靈實路1號",,,,,1967,,,
"Haven of Hope Christian Service
Head Office",基督教靈實協會總辦事處,,,,,"7 Haven of Hope Rd.,
Tseung Kwan O","將軍澳
靈實路7號",,,,,1967,,,
Haven of Hope Holistic Care Centre,靈實寧養院,,,,,"19 Haven of Hope Rd.,
Tseung Kwan O","將軍澳
靈實路19號",,,,,-,,,
Haven of Hope Hospital,靈實醫院,,,,,"8 Haven of Hope Rd.,
Tseung Kwan O","將軍澳
靈實路8號",,,,,1967,,,
Haven of Hope Nursing Home,靈實護養院,,,,,"23 Haven of Hope Rd.,
Tseung Kwan O","將軍澳
靈實路23號",,,,,1999,,,
"Haven of Hope Sister Annie
Skau Nursing Home",靈實司務道護養院,,,,,"21 Haven of Hope Rd.,
Tseung Kwan O","將軍澳
靈實路21號",,,,,1999,,,
Haven of Hope Sunnyside School,靈實恩光學校,,,,,"301 Anderson Rd.,
Ma Yau Tong","馬游塘
安達臣道301號",,,,,-,,,
"Haven of Hope Woo Ping Care &
Attention Home",靈實胡平頤養院,,,,,"8 Pui Shing Lane,
Tseung Kwan O","將軍澳
培成里8號",,,,,1999,,,
Hawaii Garden,夏威夷花園,,,,,"18 Silver Cape Rd.,
Sai Kung","西貢
銀岬路18號",,,,,1988,,,
Haywood Villa,杏苑山莊,,,,,"12-22 Lok Lam Rd.,
Sha Tin","沙田
樂林路12-22號",,,,,1991,,,
Healey Building,喜利大廈,,,,,"211/223 Castle Peak Rd.
Yuen Long &
4 Kik Yeung Rd.,
Yuen Long","元朗
青山公路元朗段
211/223號及
擊壤路4號",,,,,1978,P,,
Hebe Villa,白沙灣花園,,,,,Sai Kung,西貢,,,,,1991,P,,
Hebe Villa,白沙灣花園,Blocks A1-A8,A1至A8座,,,,,"17 Che Keng Tuk Rd.,",輋徑篤路17號,,,,P,,
Hebe Villa,白沙灣花園,Blocks B5-B8 & C1-C4,(B5至B8座及C1至C4座),,,,,18 Che Keng Tuk Rd.,輋徑篤路18號,,,,P,,
HEE Tseung Kwan O Centre,,,,,,"3 Chun Ying St.,
Tseung Kwan O","將軍澳
駿盈街3號",,,,,1996,,,
Hei Hing House,喜慶樓,,,,,"207-209 Tai Tsoi Yuen Rd.,
Cheung Chau","長洲
大菜園路207-209號",,,,,-,,,
Hei Lo,喜廬,,,,,"23C Peak Rd.,
Cheung Chau","長洲
山頂道23C號",,,,,-,,,
Hei Tai Building,熙泰樓,,,,,"15/19 Pak Shing St., Tai Po",大埔北盛街15/19號,,,,,1982,P,,
Hei Yuen,喜園,,,,,"DD 121 Lot 1162 (Pt.) etc.
Off Castle Peak Rd.
Ping Shan,
Tong Yan San Tsuen","唐人新村近青山公路
屏山段第121約
第1162號地段
(部分)等",,,,,-,,,
Heights Villa,,,,,,"DD CC 965 Peak Rd. W.,
Cheung Chau","長洲山頂道西
長洲地段965號",,,,,1965,,,
"Helen Liang Memorial
Secondary School (Sha Tin)",梁文燕紀念中學 (沙田),,,,,"2 Hin Tin St.,
Sha Tin","沙田
顯田街2號",,,,,-,,,
Helena Heights,海巒苑,,,,,"S.D. 2 Lot 1977
Off Fei Ngo Shan Rd.,
Sai Kung","西貢近飛鵝山道
測量約份第2約
第1977號地毀",,,,,1988,P,,
Helene Terrace,明珠花園,,,,,"18 Fairview Park Boulevard,
Yuen Long","元朗
錦綉花園大道18號",,,,,2003,,,
Heng On Estate,恒安邨,,,,,"1 Hang Kam St.,
Ma On Shan","馬鞍山
恒錦街1號",,,,,,P,See Appendix I,見附錄I
Heng On Estate,恒安邨,Heng Fung House,恒峰樓,,,,,,,,,,P,See Appendix I,見附錄I
Heng On Estate,恒安邨,Heng Hoi House,恒海樓,,,,,,,,,,P,See Appendix I,見附錄I
Heng On Estate,恒安邨,Heng Kong House,恒江樓,,,,,,,,,,P,See Appendix I,見附錄I
Heng On Estate,恒安邨,Heng On Shopping Centre,恒安商場,,,,,,,,,,P,See Appendix I,見附錄I
Heng On Estate,恒安邨,Heng Shan House,恒山樓,,,,,,,,,,P,See Appendix I,見附錄I
Heng On Estate,恒安邨,Heng Sing House,恒星樓,,,,,,,,,,P,See Appendix I,見附錄I
Heng On Estate,恒安邨,Heng Yat House,恒日樓,,,,,,,,,,P,See Appendix I,見附錄I
Heng On Estate,恒安邨,Heng Yuet House,恒月樓,,,,,,,,,,P,See Appendix I,見附錄I
Heng On Estate Community Centre,恒安社區中心,,,,,"1 Hang Kam St.,
Heng On Estate,
Ma On Shan","馬鞍山恒安邨
恒錦街1號",,,,,1987,,,
Henry Centre,恒利中心,,,,,"131 Wo Yi Hop Rd.,
Kwai Chung","葵涌
和宜合道131號",,,,,1992,,,
Hensey Industrial Building,興時工業大廈,,,,,"433-441 Castle Peak Rd.
Kwai Chung, Kwai Chung","葵涌青山公路
葵涌段433-441號",,,,,1965,,,
Heraeus Technology Centre,賀利氏科技中心,,,,,"30 On Chuen St.,
On Lok Tsuen, Fanling","粉嶺安樂村
安全街30號",,,,,1989,,,
Herald Court,長興閣,,,,,"33 Cheung Chau Sports Rd.,
Cheung Chau","長洲
長洲體育路33號",,,,,-,,,
Heritage Building,世傳樓,,,,,"10-12 Chung On St. &
46 Shiu Wo St., Tsuen Wan","荃灣眾安街10-12號及
兆和街46號",,,,,1955,,,
Hermita Villa,逸廬,,,,,"1-8 Hilltop Rd.,
Tsuen Wan","荃灣
顯達路1-8號",,,,,-,P,,
